cik,company_name,form_type,date_filed,file_path,year,quarter
0001000230,OPTICAL CABLE CORP,10-K,2020-12-21,edgar/data/1000230/0001437749-20-025692.txt,2020,QTR4
0001001115,GEOSPACE TECHNOLOGIES CORP,10-K,2020-11-20,edgar/data/1001115/0001564590-20-054742.txt,2020,QTR4
0001002517,"Nuance Communications, Inc.",10-K,2020-11-19,edgar/data/1002517/0001002517-20-000058.txt,2020,QTR4
0001002590,"STAR GROUP, L.P.",10-K,2020-12-07,edgar/data/1002590/0001564590-20-056309.txt,2020,QTR4
0000010048,BARNWELL INDUSTRIES INC,10-K,2020-12-16,edgar/data/10048/0000010048-20-000025.txt,2020,QTR4
0000100493,"TYSON FOODS, INC.",10-K,2020-11-16,edgar/data/100493/0000100493-20-000132.txt,2020,QTR4
0001005210,SUBURBAN PROPANE PARTNERS LP,10-K,2020-11-25,edgar/data/1005210/0001564590-20-055186.txt,2020,QTR4
0001005276,MOHEGAN TRIBAL GAMING AUTHORITY,10-K,2020-12-29,edgar/data/1005276/0001005276-20-000012.txt,2020,QTR4
0001005731,IDT CORP,10-K/A,2020-12-22,edgar/data/1005731/0001213900-20-044095.txt,2020,QTR4
0001022505,CIPHERLOC Corp,10-K,2020-12-29,edgar/data/1022505/0001493152-20-024396.txt,2020,QTR4
0001023459,SIMULATIONS PLUS INC,10-K,2020-11-16,edgar/data/1023459/0001683168-20-003974.txt,2020,QTR4
0001023844,NATIONAL HOLDINGS CORP,10-K,2020-12-29,edgar/data/1023844/0001437749-20-026055.txt,2020,QTR4
0001024095,"Carnegie Development, Inc",10-K/A,2020-11-17,edgar/data/1024095/0001477932-20-006706.txt,2020,QTR4
0001024478,"ROCKWELL AUTOMATION, INC",10-K,2020-11-10,edgar/data/1024478/0001024478-20-000038.txt,2020,QTR4
0001029744,SONIC FOUNDRY INC,10-K,2020-12-22,edgar/data/1029744/0001437749-20-025808.txt,2020,QTR4
0001031235,"Global Self Storage, Inc.",10-K/A,2020-11-27,edgar/data/1031235/0001564590-20-055517.txt,2020,QTR4
0001031296,FIRSTENERGY CORP,10-K/A,2020-11-19,edgar/data/1031296/0001031296-20-000043.txt,2020,QTR4
0001032220,"MAXIMUS, INC.",10-K,2020-11-19,edgar/data/1032220/0001032220-20-000102.txt,2020,QTR4
0001045942,"Track Group, Inc.",10-K,2020-12-23,edgar/data/1045942/0001654954-20-013848.txt,2020,QTR4
0001046050,TIMBERLAND BANCORP INC,10-K,2020-12-09,edgar/data/1046050/0000939057-20-000445.txt,2020,QTR4
0001048268,"IES Holdings, Inc.",10-K,2020-12-07,edgar/data/1048268/0001048268-20-000033.txt,2020,QTR4
0001048695,"F5 NETWORKS, INC.",10-K,2020-11-19,edgar/data/1048695/0001048695-20-000041.txt,2020,QTR4
0001049011,KID CASTLE EDUCATIONAL CORP,10-K/A,2020-11-30,edgar/data/1049011/0001760319-20-000105.txt,2020,QTR4
0001057060,MARINEMAX INC,10-K,2020-12-02,edgar/data/1057060/0001564590-20-055931.txt,2020,QTR4
0001059784,GENEREX BIOTECHNOLOGY CORP,10-K,2020-11-13,edgar/data/1059784/0001607062-20-000327.txt,2020,QTR4
