cik,company,date,status,length,has_human
0001000230,OPTICAL CABLE CORP,2020-12-21,SUCCESS,22362,True
0001001115,,2020-11-20,DOWNLOAD_FAILED,,
0001002517,"Nuance Communications, Inc.",2020-11-19,SUCCESS,14335,True
0001002590,,2020-12-07,DOWNLOAD_FAILED,,
0000010048,,2020-12-16,DOWNLOAD_FAILED,,
0000100493,,2020-11-16,DOWNLOAD_FAILED,,
0001005210,SUBURBAN PROPANE PARTNERS LP,2020-11-25,SUCCESS,80000,True
0001005276,,2020-12-29,DOWNLOAD_FAILED,,
0001005731,,2020-12-22,START_NOT_FOUND,,
0001022505,CIPHERLOC Corp,2020-12-29,SUCCESS,12352,True
0001023459,,2020-11-16,DOWNLOAD_FAILED,,
0001023844,NATIONAL HOLDINGS CORP,2020-12-29,SUCCESS,48598,True
0001024095,,2020-11-17,START_NOT_FOUND,,
0001024478,,2020-11-10,DOWNLOAD_FAILED,,
0001029744,SONIC FOUNDRY INC,2020-12-22,SUCCESS,12131,True
0001031235,,2020-11-27,START_NOT_FOUND,,
0001031296,,2020-11-19,DOWNLOAD_FAILED,,
0001032220,"MAXIMUS, INC.",2020-11-19,SUCCESS,70905,True
0001045942,"Track Group, Inc.",2020-12-23,SUCCESS,80000,True
0001046050,,2020-12-09,DOWNLOAD_FAILED,,
0001048268,"IES Holdings, Inc.",2020-12-07,SUCCESS,36724,True
0001048695,,2020-11-19,DOWNLOAD_FAILED,,
0001049011,KID CASTLE EDUCATIONAL CORP,2020-11-30,SUCCESS,28933,True
0001057060,MARINEMAX INC,2020-12-02,SUCCESS,80000,True
0001059784,GENEREX BIOTECHNOLOGY CORP,2020-11-13,SUCCESS,157659,True
0001069533,RGC RESOURCES INC,2020-12-03,SUCCESS,12533,True
0001071840,"SolarWindow Technologies, Inc.",2020-11-10,SUCCESS,21017,True
0001073748,YUMMIES INC,2020-12-30,SUCCESS,10967,True
0001074828,"KNOW LABS, INC.",2020-12-29,SUCCESS,1127,True
0001079282,"Rivulet Media, Inc.",2020-11-12,SUCCESS,80000,True
0000010795,BECTON DICKINSON & CO,2020-11-25,SUCCESS,7818,False
0000108312,,2020-11-20,DOWNLOAD_FAILED,,
0001084384,PARETEUM Corp,2020-12-14,SUCCESS,19932,True
0001090872,,2020-12-18,DOWNLOAD_FAILED,,
0000109177,,2020-11-18,DOWNLOAD_FAILED,,
0001092570,,2020-11-16,START_NOT_FOUND,,
0001096752,,2020-11-20,DOWNLOAD_FAILED,,
0001099369,DESTINY MEDIA TECHNOLOGIES INC,2020-11-18,SUCCESS,29245,True
0001099590,,2020-12-23,START_NOT_FOUND,,
0001101396,"DELTA APPAREL, INC",2020-11-23,SUCCESS,44390,True
0001102934,,2020-11-17,DOWNLOAD_FAILED,,
0001106838,,2020-12-17,DOWNLOAD_FAILED,,
0001113256,"MERITOR, INC.",2020-11-12,SUCCESS,7430,True
0001118417,"MODEL N, INC.",2020-11-23,SUCCESS,37098,True
0001124941,,2020-11-20,DOWNLOAD_FAILED,,
0001126956,,2020-11-18,DOWNLOAD_FAILED,,
0001127475,,2020-12-15,DOWNLOAD_FAILED,,
0001133470,CALAVO GROWERS INC,2020-12-21,SUCCESS,22242,True
0001138978,,2020-12-09,DOWNLOAD_FAILED,,
0001140859,AMERISOURCEBERGEN CORP,2020-11-19,SUCCESS,7193,True
0001143513,GLADSTONE CAPITAL CORP,2020-11-10,SUCCESS,80000,False
0001145255,HENNESSY ADVISORS INC,2020-12-01,SUCCESS,80000,True
0001173281,"NeuBase Therapeutics, Inc.",2020-12-23,SUCCESS,97201,True
0001176309,ORAMED PHARMACEUTICALS INC.,2020-11-24,SUCCESS,48702,True
0001177648,ENANTA PHARMACEUTICALS INC,2020-11-25,SUCCESS,80000,True
0001206942,GOLDEN GRAIN ENERGY,2020-12-28,SUCCESS,33644,True
0001222333,SPDR GOLD TRUST,2020-11-24,SUCCESS,92737,True
0001235468,LIQUIDITY SERVICES INC,2020-12-08,SUCCESS,53984,True
0001260221,,2020-11-12,DOWNLOAD_FAILED,,
0001261654,,2020-12-03,DOWNLOAD_FAILED,,
0001297937,"PARKS AMERICA, INC",2020-12-15,SUCCESS,9209,True
0001301838,"Premier Product Group, Inc.",2020-11-09,SUCCESS,12302,True
0001304741,Cannagistics Inc.,2020-11-17,SUCCESS,40680,True
0001308547,,2020-11-16,DOWNLOAD_FAILED,,
0001314052,ANAVEX LIFE SCIENCES CORP.,2020-12-28,SUCCESS,96695,True
0001314727,Sonos Inc,2020-11-23,SUCCESS,5430,True
0001319161,,2020-11-23,DOWNLOAD_FAILED,,
0001333822,SemiLEDs Corp,2020-11-17,SUCCESS,132490,True
0001337068,"Magyar Bancorp, Inc.",2020-12-18,SUCCESS,80000,True
0001341726,"GULFSLOPE ENERGY, INC.",2020-12-29,SUCCESS,80000,True
0001343465,,2020-12-07,START_NOT_FOUND,,
0001343465,,2020-12-17,START_NOT_FOUND,,
0001348036,,2020-11-24,START_NOT_FOUND,,
0001350420,"Lincolnway Energy, LLC",2020-12-23,SUCCESS,91326,True
0001350593,"Mueller Water Products, Inc.",2020-11-19,SUCCESS,17270,False
0001352081,,2020-11-18,DOWNLOAD_FAILED,,
0001353406,RedHawk Holdings Corp.,2020-11-18,SUCCESS,37802,True
0001359687,"RED TRAIL ENERGY, LLC",2020-12-18,SUCCESS,33824,True
0001368458,"Sally Beauty Holdings, Inc.",2020-11-24,SUCCESS,34386,True
0001373690,,2020-12-07,START_NOT_FOUND,,
0001376986,,2020-11-17,DOWNLOAD_FAILED,,
0001378590,"Bridgeline Digital, Inc.",2020-12-23,SUCCESS,16013,True
0001378992,"BERRY GLOBAL GROUP, INC.",2020-11-23,SUCCESS,12456,True
0001381668,,2020-11-24,DOWNLOAD_FAILED,,
0001382230,,2020-12-14,DOWNLOAD_FAILED,,
0001383414,PENNANTPARK INVESTMENT CORP,2020-11-19,SUCCESS,80000,True
0001385157,,2020-11-10,DOWNLOAD_FAILED,,
0001389034,Kallo Inc.,2020-12-17,SUCCESS,80000,True
0001394638,CREATIVE LEARNING Corp,2020-12-30,SUCCESS,23580,True
0001397016,Optex Systems Holdings Inc,2020-12-17,SUCCESS,2204,True
0001403161,,2020-11-19,DOWNLOAD_FAILED,,
0001406587,Forestar Group Inc.,2020-11-19,SUCCESS,19043,True
0001407583,Bunker Hill Mining Corp.,2020-11-24,SUCCESS,11141,True
0001407583,Bunker Hill Mining Corp.,2020-12-04,SUCCESS,11639,True
0001409197,"Bespoke Extracts, Inc.",2020-12-18,SUCCESS,14778,True
0001410738,Voip-pal.com Inc,2020-12-16,SUCCESS,21394,True
0001414932,Oaktree Specialty Lending Corp,2020-11-19,SUCCESS,68682,True
0001417398,"Hillenbrand, Inc.",2020-11-12,SUCCESS,64159,True
0001418100,,2020-11-25,DOWNLOAD_FAILED,,
0001423221,Quanex Building Products CORP,2020-12-11,SUCCESS,20420,True
