cik,company_name,form_type,date_filed,file_path,year,quarter
0001005210,SUBURBAN PROPANE PARTNERS LP,10-K,2020-11-25,edgar/data/1005210/0001564590-20-055186.txt,2020,QTR4
0001005731,IDT CORP,10-K/A,2020-12-22,edgar/data/1005731/0001213900-20-044095.txt,2020,QTR4
0001024095,"Carnegie Development, Inc",10-K/A,2020-11-17,edgar/data/1024095/0001477932-20-006706.txt,2020,QTR4
0001031235,"Global Self Storage, Inc.",10-K/A,2020-11-27,edgar/data/1031235/0001564590-20-055517.txt,2020,QTR4
0001031296,FIRSTENERGY CORP,10-K/A,2020-11-19,edgar/data/1031296/0001031296-20-000043.txt,2020,QTR4
0001079282,"Rivulet Media, Inc.",10-K,2020-11-12,edgar/data/1079282/0001199835-20-000298.txt,2020,QTR4
0001092570,FULLNET COMMUNICATIONS INC,10-K/A,2020-11-16,edgar/data/1092570/0001376474-20-000294.txt,2020,QTR4
0001099590,MERCADOLIBRE INC,10-K/A,2020-12-23,edgar/data/1099590/0001562762-20-000435.txt,2020,QTR4
0001106838,"Sonnet BioTherapeutics Holdings, Inc.",10-K,2020-12-17,edgar/data/1106838/0001493152-20-023801.txt,2020,QTR4
0001127475,"Digital Brand Media & Marketing Group, Inc.",10-K,2020-12-15,edgar/data/1127475/0001185185-20-001749.txt,2020,QTR4
0001145255,HENNESSY ADVISORS INC,10-K,2020-12-01,edgar/data/1145255/0001193125-20-307086.txt,2020,QTR4
0001343465,Sun Pacific Holding Corp.,10-K/A,2020-12-07,edgar/data/1343465/0001493152-20-023037.txt,2020,QTR4
0001343465,Sun Pacific Holding Corp.,10-K/A,2020-12-17,edgar/data/1343465/0001493152-20-023828.txt,2020,QTR4
0001348036,"AVALARA, INC.",10-K/A,2020-11-24,edgar/data/1348036/0001193125-20-302574.txt,2020,QTR4
0001373690,Indigenous Roots Corp.,10-K,2020-12-07,edgar/data/1373690/0001640334-20-003018.txt,2020,QTR4
0001383414,PENNANTPARK INVESTMENT CORP,10-K,2020-11-19,edgar/data/1383414/0001564590-20-054639.txt,2020,QTR4
0001389034,Kallo Inc.,10-K,2020-12-17,edgar/data/1389034/0001520138-20-000630.txt,2020,QTR4
0001434389,"UNIVERSAL SOLAR TECHNOLOGY, INC.",10-K,2020-12-29,edgar/data/1434389/0001434389-20-000007.txt,2020,QTR4
0001434389,"UNIVERSAL SOLAR TECHNOLOGY, INC.",10-K,2020-12-30,edgar/data/1434389/0001434389-20-000008.txt,2020,QTR4
0001437750,Trex Acquisition Corp.,10-K,2020-12-23,edgar/data/1437750/0001477932-20-007474.txt,2020,QTR4
0001444307,ONCOSEC MEDICAL Inc,10-K/A,2020-11-30,edgar/data/1444307/0001493152-20-022717.txt,2020,QTR4
0001454742,"GOOD GAMING, INC.",10-K/A,2020-11-24,edgar/data/1454742/0001493152-20-022385.txt,2020,QTR4
0001464963,"First Eagle Alternative Capital BDC, Inc.",10-K/A,2020-12-01,edgar/data/1464963/0001193125-20-307392.txt,2020,QTR4
0001504619,PennantPark Floating Rate Capital Ltd.,10-K,2020-11-18,edgar/data/1504619/0001564590-20-054484.txt,2020,QTR4
0001511820,Globe Net Wireless Corp.,10-K,2020-12-14,edgar/data/1511820/0001493152-20-023476.txt,2020,QTR4
0001530425,"Artisan Consumer Goods, Inc.",10-K,2020-12-16,edgar/data/1530425/0001477932-20-007342.txt,2020,QTR4
0001533427,"Pazoo, Inc.",10-K,2020-12-07,edgar/data/1533427/0001477932-20-007118.txt,2020,QTR4
0001536089,VIRTUAL INTERACTIVE TECHNOLOGIES CORP.,10-K,2020-12-29,edgar/data/1536089/0001493152-20-024467.txt,2020,QTR4
0001539680,HAMMER FIBER OPTICS HOLDINGS CORP,10-K/A,2020-12-08,edgar/data/1539680/0001078782-20-000957.txt,2020,QTR4
0001540159,"Edesa Biotech, Inc.",10-K,2020-12-07,edgar/data/1540159/0001654954-20-013236.txt,2020,QTR4
0001575295,Allied Corp.,10-K/A,2020-12-17,edgar/data/1575295/0001477932-20-007356.txt,2020,QTR4
0001575295,Allied Corp.,10-K,2020-12-16,edgar/data/1575295/0001477932-20-007331.txt,2020,QTR4
